ann_term	q_val	annotation
GO:0002790	1	peptide secretion
GO:0009306	1	protein secretion
GO:0033108	1	mitochondrial respiratory chain complex assembly
GO:0035592	1	establishment of protein localization to extracellular region
GO:0071692	1	protein localization to extracellular region
GO:0008830	1	dTDP-4-dehydrorhamnose 3,5-epimerase activity
GO:0044271	0.993334279944807	cellular nitrogen compound biosynthetic process
GO:0044273	0.993334279944807	sulfur compound catabolic process
GO:0016763	0.993334279944807	transferase activity, transferring pentosyl groups
GO:0042887	0.993334279944807	amide transmembrane transporter activity
GO:0007091	0.993334279944807	metaphase/anaphase transition of mitotic cell cycle
GO:0010965	0.993334279944807	regulation of mitotic sister chromatid separation
GO:0030071	0.993334279944807	regulation of mitotic metaphase/anaphase transition
GO:0033045	0.993334279944807	regulation of sister chromatid segregation
GO:0033047	0.993334279944807	regulation of mitotic sister chromatid segregation
GO:0044784	0.993334279944807	metaphase/anaphase transition of cell cycle
GO:0051306	0.993334279944807	mitotic sister chromatid separation
GO:0051983	0.993334279944807	regulation of chromosome segregation
GO:1902099	0.993334279944807	regulation of metaphase/anaphase transition of cell cycle
GO:1905818	0.993334279944807	regulation of chromosome separation
GO:0008174	0.993334279944807	mRNA methyltransferase activity
GO:0006788	0.993334279944807	heme oxidation
GO:0004392	0.993334279944807	heme oxygenase (decyclizing) activity
GO:0009698	0.989365701677129	phenylpropanoid metabolic process
GO:0009737	0.989365701677129	response to abscisic acid
GO:0009738	0.989365701677129	abscisic acid-activated signaling pathway
GO:0009791	0.989365701677129	post-embryonic development
GO:0009808	0.989365701677129	lignin metabolic process
GO:0046271	0.989365701677129	phenylpropanoid catabolic process
GO:0046274	0.989365701677129	lignin catabolic process
GO:0071215	0.989365701677129	cellular response to abscisic acid stimulus
GO:0071973	0.989365701677129	bacterial-type flagellum-dependent cell motility
GO:0097588	0.989365701677129	archaeal or bacterial-type flagellum-dependent cell motility
GO:0010427	0.989365701677129	abscisic acid binding
GO:0019139	0.989365701677129	cytokinin dehydrogenase activity
